ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Gender_encoded,Ever_Married_encoded,Graduated_encoded,Spending_encoded,Profession_Artist,Profession_Doctor,Profession_Engineer,Profession_Entertainment,Profession_Executive,Profession_Healthcare,Profession_Homemaker,Profession_Lawyer,Profession_Marketing,Cluster_3,Cluster_4,Cluster_5,Cluster,Persona,PC1,PC2
458989,Female,Yes,36,Yes,Engineer,0.0,Low,1.0,Cat_6,0,1,1,0,False,False,True,False,False,False,False,False,False,2,0,0,0,Mid-Career Mix,0.15887758088592524,0.9486173094819776
458994,Male,Yes,37,Yes,Healthcare,8.0,Average,4.0,Cat_6,1,1,1,1,False,False,False,False,False,True,False,False,False,1,2,2,2,Young Budget,-0.7000556838102581,-0.746228474519275
458996,Female,Yes,69,No,Artist,0.0,Low,1.0,Cat_6,0,1,0,0,True,False,False,False,False,False,False,False,False,2,3,1,1,Mainstream Majority,1.1176717068001614,1.0896438893706435
459000,Male,Yes,59,No,Executive,11.0,High,2.0,Cat_6,1,1,0,2,False,False,False,False,True,False,False,False,False,0,3,4,4,Premium Spenders,1.7442040845322448,-2.4119524394112015
459001,Female,No,19,No,Marketing,1.0,Low,4.0,Cat_6,0,0,0,0,False,False,False,False,False,False,False,False,True,1,0,2,2,Young Budget,-2.3972067580815346,-0.557913770372164
459003,Male,Yes,47,Yes,Doctor,0.0,High,5.0,Cat_4,1,1,1,2,False,True,False,False,False,False,False,False,False,2,3,1,1,Mainstream Majority,1.0826134916330934,-1.3808741801648101
459005,Male,Yes,61,Yes,Doctor,5.0,Low,3.0,Cat_6,1,1,1,0,False,True,False,False,False,False,False,False,False,2,0,1,1,Mainstream Majority,0.4975006170643364,0.1588458495362844
459008,Female,Yes,47,Yes,Artist,1.0,Average,3.0,Cat_6,0,1,1,1,True,False,False,False,False,False,False,False,False,2,3,1,1,Mainstream Majority,1.2131130858070325,1.1688104775347754
459013,Male,Yes,50,Yes,Artist,2.0,Average,4.0,Cat_6,1,1,1,1,True,False,False,False,False,False,False,False,False,2,3,1,1,Mainstream Majority,1.2198976423022705,0.38054730975001094
459014,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,1,0,0,0,False,False,False,False,False,True,False,False,False,1,2,2,2,Young Budget,-2.9494571795975646,-1.4496317558602405
459015,Male,No,22,No,Healthcare,0.0,Low,3.0,Cat_6,1,0,0,0,False,False,False,False,False,True,False,False,False,1,2,2,2,Young Budget,-2.7429543940630206,-1.2036760333130814
459016,Female,No,22,No,Healthcare,0.0,Low,6.0,Cat_6,0,0,0,0,False,False,False,False,False,True,False,False,False,1,2,2,2,Young Budget,-3.1610754403315977,-1.3650590907303177
459024,Male,Yes,50,Yes,Artist,1.0,Average,5.0,Cat_6,1,1,1,1,True,False,False,False,False,False,False,False,False,2,3,1,1,Mainstream Majority,1.1333270827984705,0.06529285007214083
459026,Male,No,27,No,Healthcare,8.0,Low,3.0,Cat_3,1,0,0,0,False,False,False,False,False,True,False,False,False,1,2,2,2,Young Budget,-2.841101120449426,-0.7058716969439589
459032,Male,No,18,No,Doctor,0.0,Low,3.0,Cat_6,1,0,0,0,False,True,False,False,False,False,False,False,False,1,0,2,2,Young Budget,-2.046120618672039,-0.6785381518531395
459033,Female,Yes,61,Yes,Artist,0.0,Low,1.0,Cat_6,0,1,1,0,True,False,False,False,False,False,False,False,False,2,3,1,1,Mainstream Majority,1.3537697412997332,1.9547636054714645
459036,Female,Yes,20,Yes,Lawyer,1.0,Average,3.0,Cat_3,0,1,1,1,False,False,False,False,False,False,False,True,False,0,1,3,3,Senior Spenders,1.1128027863571948,-0.29702387249078965
459039,Male,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,1,1,1,1,True,False,False,False,False,False,False,False,False,2,3,1,1,Mainstream Majority,1.3370300895388727,0.8304771849367878
